Location,Health Spending per Capita
Alabama,7281
Alaska,11064
Arizona,6452
Arkansas,7408
California,7549
Colorado,6804
Connecticut,9859
Delaware,10254
District of Columbia,11944
Florida,8076
Georgia,6587
Hawaii,7299
Idaho,6927
Illinois,8262
Indiana,8300
Iowa,8200
Kansas,7651
Kentucky,8004
Louisiana,7815
Maine,9531
Maryland,8602
Massachusetts,10559
Michigan,8055
Minnesota,8871
Mississippi,7646
Missouri,8107
Montana,8221
Nebraska,8412
Nevada,6714
New Hampshire,9589
New Jersey,8859
New Mexico,7214
New York,9778
North Carolina,7264
North Dakota,9851
Ohio,8712
Oklahoma,7627
Oregon,8044
Pennsylvania,9258
Rhode Island,9551
South Carolina,7311
South Dakota,8933
Tennessee,7372
Texas,6998
Utah,5982
Vermont,10190
Virginia,7556
Washington,7913
West Virginia,9462
Wisconsin,8702
Wyoming,8320