State,Income Per Capita
Alabama, 42334
Alaska, 59687
Arizona, 43650
Arkansas, 42566
California, 62586
Colorado, 56846
Connecticut, 74561
Delaware, 51449
Florida, 49417
Georgia, 45745
Hawaii, 54565
Idaho, 43155
Illinois, 56933
Indiana, 46646
Iowa, 48823
Kansas, 50155
Kentucky, 41779
Louisiana, 45542
Maine, 48241
Maryland, 62914
Massachusetts, 70073
Michigan, 47582
Minnesota, 56374
Mississippi, 37994
Missouri, 46635
Montana, 47120
Nebraska, 52110
Nevada, 48225
New Hampshire, 61405
New Jersey, 67609
New Mexico, 41198
New York, 68667
North Carolina, 45834
North Dakota, 54306
Ohio, 48242
Oklahoma, 46128
Oregon, 49908
Pennsylvania, 55349
Rhode Island, 54523
South Carolina, 42736
South Dakota, 50141
Tennessee, 47179
Texas, 49161
Utah, 45340
Vermont, 53598
Virginia, 56952
Washington, 60781
West Virginia, 40578
Wisconsin, 50756
Wyoming, 60095
District of Columbia, 47285