State,smokingRate
Utah,8.9000
California,11.3000
Connecticut,12.7000
Hawaii,12.8000
Washington,13.5000
Massachusetts,13.7000
New Jersey,13.7000
Maryland,13.8000
New York,14.1000
District of Columbia,14.3000
Idaho,14.3000
Minnesota,14.5000
Colorado,14.6000
Rhode Island,14.9000
Nebraska,15.4000
Illinois,15.5000
Arizona,15.6000
New Hampshire,15.7000
Texas,15.7000
Vermont,15.8000
Wisconsin,16
Florida,16.1000
Oregon,16.1000
Virginia,16.4000
Delaware,17
Iowa,17.1000
Montana,17.2000
North Carolina,17.2000
Maine,17.3000
Kansas,17.4000
Georgia,17.5000
New Mexico,17.5000
Nevada,17.6000
North Dakota,18.3000
Pennsylvania,18.7000
Wyoming,18.7000
South Carolina,18.8000
Michigan,19.3000
South Dakota,19.3000
Oklahoma,20.1000
Missouri,20.8000
Alabama,20.9000
Alaska,21
Ohio,21.1000
Indiana,21.8000
Mississippi,22.2000
Arkansas,22.3000
Tennessee,22.6000
Louisiana,23.1000
Kentucky,24.6000
West Virginia,26